Year,Temperature,11-year mean,,Pyear,P,Nyear,N
1910,-0.5,NaN,,1914,0.12,1910,-0.5
1911,-0.68,NaN,,1915,0.07,1911,-0.68
1912,-0.2,NaN,,1928,0.16,1912,-0.2
1913,-0.87,NaN,,1938,0.19,1913,-0.87
1914,0.12,NaN,,1942,0.08,1916,-0.57
1915,0.07,-0.46,,1957,0.04,1917,-1.24
1916,-0.57,-0.44,,1958,0.14,1918,-0.54
1917,-1.24,-0.42,,1959,0.24,1919,-0.15
1918,-0.54,-0.44,,1961,0.05,1920,-0.53
1919,-0.15,-0.42,,1965,0.25,1921,-0.23
1920,-0.53,-0.5,,1972,0.15,1922,-0.47
1921,-0.23,-0.52,,1973,0.54,1923,-0.38
1922,-0.47,-0.52,,1979,0.37,1924,-0.69
1923,-0.38,-0.39,,1980,0.74,1925,-0.77
1924,-0.69,-0.42,,1981,0.27,1926,-0.17
1925,-0.77,-0.43,,1983,0.33,1927,-0.51
1926,-0.17,-0.43,,1985,0.21,1929,-0.87
1927,-0.51,-0.45,,1986,0.22,1930,-0.24
1928,0.16,-0.45,,1987,0.17,1931,-0.59
1929,-0.87,-0.45,,1988,0.73,1932,-0.42
1930,-0.24,-0.43,,1990,0.47,1933,-0.45
1931,-0.59,-0.37,,1991,0.6,1934,-0.36
1932,-0.42,-0.39,,1992,0.12,1935,-0.5
1933,-0.45,-0.33,,1993,0.31,1936,-0.14
1934,-0.36,-0.4,,1994,0.18,1937,-0.36
1935,-0.5,-0.34,,1995,0.16,1939,-0.62
1936,-0.14,-0.37,,1996,0.6,1940,-0.24
1937,-0.36,-0.31,,1997,0.3,1941,-0.55
1938,0.19,-0.32,,1998,0.97,1943,-0.62
1939,-0.62,-0.32,,1999,0.32,1944,-0.4
1940,-0.24,-0.31,,2001,0.05,1945,-0.29
1941,-0.55,-0.33,,2002,0.71,1946,-0.73
1942,0.08,-0.34,,2003,0.69,1947,-0.25
1943,-0.62,-0.35,,2004,0.54,1948,-0.45
1944,-0.4,-0.46,,2005,1.16,1949,-0.94
1945,-0.29,-0.45,,2006,0.5,1950,-0.61
1946,-0.73,-0.47,,2007,0.76,1951,-0.43
1947,-0.25,-0.46,,2008,0.45,1952,-0.43
1948,-0.45,-0.51,,2009,0.93,1953,-0.45
1949,-0.94,-0.49,,2010,0.33,1954,-0.36
1950,-0.61,-0.48,,2012,0.24,1955,-0.32
1951,-0.43,-0.54,,2013,1.33,1956,-0.92
1952,-0.43,-0.47,,2014,1.04,1960,-0.66
1953,-0.45,-0.43,,2015,0.94,1962,-0.11
1954,-0.36,-0.37,,2016,0.99,1963,-0.13
1955,-0.32,-0.34,,2017,1.06,1964,-0.22
1956,-0.92,-0.28,,2018,1.12,1966,-0.5
1957,0.04,-0.25,,2019,1.52,1967,-0.22
1958,0.14,-0.23,,2020,1.15,1968,-0.39
1959,0.24,-0.2,,,,1969,-0.03
1960,-0.66,-0.15,,,,1970,-0.1
1961,0.05,-0.17,,,,1971,-0.22
1962,-0.11,-0.1,,,,1974,-0.7
1963,-0.13,-0.14,,,,1975,-0.22
1964,-0.22,-0.16,,,,1976,-0.75
1965,0.25,-0.19,,,,1977,-0.04
1966,-0.5,-0.15,,,,1978,-0.31
1967,-0.22,-0.14,,,,1982,-0.04
1968,-0.39,-0.08,,,,1984,-0.38
1969,-0.03,-0.13,,,,1989,-0.02
1970,-0.1,-0.13,,,,2000,-0.04
1971,-0.22,-0.22,,,,2011,0
1972,0.15,-0.18,,,,,
1973,0.54,-0.19,,,,,
1974,-0.7,-0.12,,,,,
1975,-0.22,-0.05,,,,,
1976,-0.75,-0.02,,,,,
1977,-0.04,0,,,,,
1978,-0.31,0.02,,,,,
1979,0.37,-0.07,,,,,
1980,0.74,0.02,,,,,
1981,0.27,0.06,,,,,
1982,-0.04,0.14,,,,,
1983,0.33,0.21,,,,,
1984,-0.38,0.24,,,,,
1985,0.21,0.25,,,,,
1986,0.22,0.23,,,,,
1987,0.17,0.22,,,,,
1988,0.73,0.25,,,,,
1989,-0.02,0.24,,,,,
1990,0.47,0.29,,,,,
1991,0.6,0.32,,,,,
1992,0.12,0.33,,,,,
1993,0.31,0.4,,,,,
1994,0.18,0.36,,,,,
1995,0.16,0.36,,,,,
1996,0.6,0.32,,,,,
1997,0.3,0.33,,,,,
1998,0.97,0.39,,,,,
1999,0.32,0.41,,,,,
2000,-0.04,0.5,,,,,
2001,0.05,0.53,,,,,
2002,0.71,0.54,,,,,
2003,0.69,0.56,,,,,
2004,0.54,0.55,,,,,
2005,1.16,0.55,,,,,
2006,0.5,0.56,,,,,
2007,0.76,0.57,,,,,
2008,0.45,0.63,,,,,
2009,0.93,0.66,,,,,
2010,0.33,0.7,,,,,
2011,0,0.68,,,,,
2012,0.24,0.73,,,,,
2013,1.33,0.77,,,,,
2014,1.04,0.86,,,,,
2015,0.94,0.88,,,,,
2016,0.99,NaN,,,,,
2017,1.06,NaN,,,,,
2018,1.12,NaN,,,,,
2019,1.52,NaN,,,,,
2020,1.15,NaN,,,,,
2021,0.57,NaN,,,,,
2022,0.51,NaN,,,,,
2023,0.99,NaN,,,,,
2024,1.45,NaN,,,,,
2025,1.23,NaN,,,,,
